Sticker,Full name,Focus,Rating,Numerical_Rating,5Y_Default_Rate,NOI(UNADJUSTED), NOI , IE (UNADJUSTED) , Interest Expense , Total Debt , Total Equity , Cash , Total Assets ,Interest_Expense_Coverage_Ratio,Net_Debt_Leverage_Ratio,Total_Leverage_Ratio,Debt_to_Equity_Ratio,EBITDA_Asset_Ratio,EBITDA_Equity_Ratio,Residential,Office,Retail,Industrial
ELME,ELME Communities,Residential,BBB,8,0.0116,35511," 47,348.00 "," 21,043.00 "," 28,057.33 "," 737,220.00 "," 1,173,053.00 "," 10,183.00 "," 1,910,273.00 ",1.687544552,15.35517868,15.57024584,0.628462653,0.024785986,0.040363053,1,0,0,0
AMH,American Homes 4 Rent,Residential,BBB,8,0.0116,597257," 796,342.67 "," 105,107.00 "," 140,142.67 "," 5,008,841.00 "," 7,550,536.00 "," 242,647.00 "," 12,559,377.00 ",5.682371298,5.985104402,6.289806147,0.663375554,0.063406224,0.105468362,1,0,0,0
ARE,Alexandria Real Estate Equities,Office,BBB+,9,0.0081,1162740," 1,550,320.00 "," 42,237.00 "," 56,316.00 "," 14,070,411.00 "," 22,661,224.00 "," 567,711.00 "," 36,731,635.00 ",27.52894382,8.709621239,9.0758108,0.620902516,0.04220667,0.068412898,0,1,0,0
KRC,Kilroy Realty Corp.,Office,BBB,8,0.0116,524499," 699,332.00 "," 81,891.00 "," 109,188.00 "," 5,803,596.00 "," 5,667,525.00 "," 897,583.00 "," 11,471,121.00 ",6.404843023,7.015284586,8.298770827,1.024008893,0.060964574,0.123392839,0,1,0,0
BXP,Boston Properties Inc.,Office,BBB+,9,0.0081,1391141," 1,854,854.67 "," 424,492.00 "," 565,989.33 "," 16,698,784.00 "," 8,033,576.00 "," 882,647.00 "," 24,732,360.00 ",3.277190147,8.526887461,9.002745229,2.078624015,0.074997075,0.230887797,0,1,0,0
FSP,Franklin Street Props,Office,BBB+,9,0.0081,41203," 54,937.33 "," 18,099.00 "," 24,132.00 "," 440,447.00 "," 711,326.00 "," 13,043.00 "," 1,151,773.00 ",2.276534615,7.779846128,8.017262093,0.619191482,0.047698056,0.077232286,0,1,0,0
HPP,Hudson Pacific Properties,Office,BBB-,7,0.0244,338777," 451,702.67 "," 162,036.00 "," 216,048.00 "," 5,260,582.00 "," 3,600,825.00 "," 94,094.00 "," 8,861,407.00 ",2.090751438,11.43780717,11.64611677,1.460937979,0.050974147,0.125444215,0,1,0,0
OPI,Office Properties Income Trust,Office,BB,5,0.0534,205226," 273,634.67 "," 80,591.00 "," 107,454.67 "," 2,740,357.00 "," 1,304,633.00 "," 39,628.00 "," 4,044,990.00 ",2.546512638,9.869834962,10.01465579,2.100481131,0.067647798,0.209740721,0,1,0,0
BDN,Brandywine Realty Trust,Office,BB+,6,0.0313,198183," 264,244.00 "," 73,928.00 "," 98,570.67 "," 2,408,295.00 "," 1,514,368.00 "," 58,617.00 "," 3,922,663.00 ",2.680756953,8.89207702,9.113906087,1.590297074,0.067363421,0.174491273,0,1,0,0
SLG,SL Green Realty Corp.,Office,BB+,6,0.0313,259482," 345,976.00 "," 116,041.00 "," 154,721.33 "," 5,168,616.00 "," 4,107,243.00 "," 318,939.00 "," 9,275,859.00 ",2.236123439,14.01737982,14.93923278,1.258414951,0.03729854,0.084235581,0,1,0,0
HIW,Highwoods Properties,Office,BBB,8,0.0116,397239," 529,652.00 "," 101,408.00 "," 135,210.67 "," 3,522,594.00 "," 2,457,322.00 "," 20,710.00 "," 5,979,916.00 ",3.917235327,6.611669549,6.650770695,1.433509324,0.088571813,0.215540332,0,1,0,0
PDM,Piedmont Office Realty Trust,Office,BBB,8,0.0116,223449," 297,932.00 "," 72,827.00 "," 97,102.67 "," 2,306,713.00 "," 1,767,065.00 "," 11,027.00 "," 4,073,778.00 ",3.068216458,7.705402575,7.742414376,1.305392275,0.073134078,0.16860274,0,1,0,0
ADC,Agree Realty,Retail,BBB+,9,0.0081,313932," 418,576.00 "," 58,748.00 "," 78,330.67 "," 2,401,712.00 "," 5,245,394.00 "," 6,387.00 "," 7,647,106.00 ",5.343705318,5.722556955,5.737815833,0.457870658,0.054736524,0.079798772,0,0,1,0
KRG,Kite Realty Group Trust,Retail,BBB-,7,0.0244,417928," 557,237.33 "," 78,114.00 "," 104,152.00 "," 3,347,828.00 "," 3,637,669.00 "," 58,314.00 "," 6,985,497.00 ",5.350231713,5.903254867,6.007903275,0.920322327,0.079770607,0.153185277,0,0,1,0
FCPT,Four Corners Property Trust,Retail,BBB,8,0.0116,137847," 183,796.00 "," 32,245.00 "," 42,993.33 "," 1,202,250.00 "," 1,253,644.00 "," 5,675.00 "," 2,455,894.00 ",4.27498837,6.510342989,6.541219613,0.959004311,0.074838735,0.146609404,0,0,1,0
SITC,SITE Centers,Retail,BBB-,7,0.0244,258171," 344,228.00 "," 61,991.00 "," 82,654.67 "," 1,978,405.00 "," 2,046,717.00 "," 63,261.00 "," 4,025,122.00 ",4.164652933,5.563591573,5.747368024,0.966623622,0.085519892,0.16818544,0,0,1,0
SRC,"Spirit Realty Capital, Inc.",Retail,BBB,8,0.0116,359653," 479,537.33 "," 104,993.00 "," 139,990.67 "," 4,157,415.00 "," 4,492,793.00 "," 134,166.00 "," 8,650,208.00 ",3.425495033,8.389855639,8.669637818,0.925352003,0.055436509,0.106734794,0,0,1,0
